game version	manifest
0.10.1	6316038906315325420
0.10.2	2542095265882143144
0.10.2p1	5611588554149133260
0.11.0b1	8892605455517437772
0.11.0	8700049030626148111
0.11.1	6574193224879562324
0.11.2	2707973953401625222
0.12.0	6094599000655593822
0.12.0p1	2068421223689664394
0.12.1	2472041066434647526
0.12.2	5325635033564462932
0.13.0	3102409495238838111
0.13.0p1	6827433614670733798
0.13.1	6033025349617217666
0.13.2	6839388023573913446
1.0.0	152937782137361764
1.0.1	7950322551526208347
1.1.0	1400454104881094752
1.0.0p1	1041583928494277430
1.2.0	3820905673516362176
1.3.0	2440312204809283162
1.4.0	3532596684905902618
1.4.2	1199049250928380207
1.5.0	2831333980042022356
1.6.0	1869974316274529288
1.6.1	6122319670026856947
1.6.2	4932559146183937357
1.7.0	3516084911940449222
1.8.0	3177969677109016846
1.9.0	7885463693258878294
1.9.1	6222769774084748916
1.10.0	6711131863503994755
1.11.0	1919603726987963829
1.11.1	3268824881806146387
1.12.1	2928416283534881313
1.12.2	543439039654962432
1.13.0	4635119747389290346
1.13.2	8571679771389514488
1.13.4	1257277263145069282
1.13.5	7007516983116400336
1.14.0	9218225910501819399
1.15.0	7624554893344753887
1.16.0	3667184295685865706
1.16.1	9201874499606445062
1.16.2	3692829915208062825
1.16.3	6392596175313869009
1.16.4	8820433629543698585
1.17.0	7826684224434229804
1.17.1	4668547658954826996
1.18.0	5599254819160454367
1.18.1	8961661233382948062
1.18.2	6835596583028648427
1.18.3	6558821762131072991
1.19.0	8948172000430595334
1.19.1	1175216641760077721
1.20.0	4202491068770948196
1.21.0	3648558848715327622
1.22.0	4038188869828689801
1.22.1	3771211058784167267
1.23.0	8051970117665729770
1.24.0	649695825989344999
1.24.1	3141359577983993890
1.25.0	4529582051007915041
1.25.1	7372469314660649150
1.26.0	3634450655207470002
